Торгівельне найменування,Міжнародне непатентоване найменування,Склад (діючі),Код АТС,Заявник: назва українською,Заявник: країна,Заявник: адреса,Виробник: назва українською,Виробник: країна,Виробник: адреса,Номер Реєстраційного посвідчення,Термін придатності: значення,Термін придатності: одиниця вимірювання,Допоміжні речовини,Діючі речовини,Посилання на медикамент
ГЕКСОРАЛ® ЛОРСЕПТ ЗІ СМАКОМ ЧОРНОЇ СМОРОДИНИ,Follitropin alfa,"1 мл розчину містить 600 МО (44 мкг) фолітропіну альфа;/одна попередньо наповнена ручка містить: 75 МО (5,5 мкг) фолітропіну альфа в 0,125 мл",R02A A20,"ВАТ ""Гедеон Ріхтер""",Угорщина,"Н-1103, Будапешт, вул. Демреї, 19-21, Угорщина","ВАТ ""Гедеон Ріхтер"" (зборка ручки для ін'єкцій, вторинна упаковка, дозвіл на випуск серії)",Угорщина,"Н-1103, Будапешт, вул. Демреї, 19-21, Угорщина"," Osmolality)) / УФАГ Лабораторіен АГ (контроль якості за наступними показниками: FSH Content (SEC-HPLC)","Ресіфарм Мон (виробництво нерозфасованої продукції, первинна упаковка (картриджі); контроль якості за наступними показниками: Endotoxin (LAL-assay); Sterility; Visual Appearance; Visible Particles; Sub-visible Particles I/II)) / СіПі Фармасьютікалс Лімітед (виробництво нерозфасованої продукції; первинна упаковка (картриджі); контроль якості за наступними показниками: Endotoxin (LAL-assay); Sterility; Visual Appearance; Visible Particles; Sub-visible Particles I/II)",Франція / Велика Британія,"сахароза, глюкози розчин, кислоти лимонної моногідрат, олія анісова, барвник жовтий захід FCF (Е 110), олія м’яти, олія апельсинова","Амілметакрезол, Спирт 2,4-діхлорбензиловий",https://compendium.com.ua/dec/266960/
ГЕКСОСЕПТ®,Bendazol*,1 мл розчину містить бендазол у перерахуванні на 100 % суху речовину 10 мг,A01A B12,"Приватне акціонерне товариство ""Лекхім-Харків""",Україна,"Україна, 61115, Харківська обл., місто Харків, вулиця Северина Потоцького, будинок 36","Приватне акціонерне товариство ""Лекхім-Харків""",Україна,"Україна, 61115, Харківська обл., місто Харків, вулиця Северина Потоцького, будинок 36",UA/17614/01/01,2 роки,2,натрію сахаринат,Гексетидин,https://compendium.com.ua/dec/273069/
ГЕЛАСПАН 4 %,Bendamustine,за рецептом,B05A A06,,Містрал Кепітал Менеджмент Лімітед,Англія,4,Сінтон с.р.о. (відповідальний за випуск серії),Чеська Республіка,,3 роки,3,"натрію гідроксид, кислота хлористоводнева розведена, вода для ін’єкцій","Желатин сукцинільований, Натрію хлорид, Натрію ацетат тригідрат, Калію хлорид, Кальцію хлорид дигідрат, Магнію хлорид гексагідрат",https://compendium.com.ua/dec/264781/
ГЕЛОПЛАЗМА,Bendamustine,1 флакон містить 25 мг бендамустину гідрохлориду,B05A A06,Містрал Кепітал Менеджмент Лімітед,Англія,"Офіс 2-02 1ий Поверх Бізнес Ресурс Нетворк, 53 Вейтліс Драйв, Кенілворт, Уорикшир, Англія, CV8 2GY",Сінтон с.р.о. (відповідальний за випуск серії),Чеська Республіка,"Брненска 32/ср. 597, Бланско, 67801, Чеська Республiка",UA/16512/01/01,3,рік,"кислота хлористоводнева, натрію гідроксид, водню пероксиду розчин (30%), вода очищена","Желатин, Натрію хлорид, Магнію хлорид гексагідрат, Калію хлорид, Натрію лактат",https://compendium.com.ua/dec/264706/
ГЕЛОФУЗИН,Bendamustine,1 флакон містить 25 мг або 100 мг бендамустину гідрохлориду,B05A A06,Містрал Кепітал Менеджмент Лімітед,Англія,"Офіс 2-02 1ий Поверх Бізнес Ресурс Нетворк, 53 Вейтліс Драйв, Кенілворт, Уорикшир, Англія, CV8 2GY",Сіндан Фарма С.Р.Л.,Румунія,"бул. Іона Михалаче, 11, сектор 1, 011171, Бухарест, Румунiя",UA/15258/01/01,3,рік,вода для ін'єкцій,"Желатин сукцинільований, Натрію хлорид, Натрію гідроксид",https://compendium.com.ua/dec/270881/
ГЕЛЬ ГЕПАРИНОВИЙ,Bendamustine,"1 флакон містить 25 мг або 100 мг бендамустину гідрохлориду;/1 мл відновленого концентрату містить 2,5 мг бендамустину гідрохлориду",C05B A03,Містрал Кепітал Менеджмент Лімітед,Англія,"Офіс 2-02 1ий Поверх Бізнес Ресурс Нетворк, 53 Вейтліс Драйв, Кенілворт, Уорикшир, Англія, CV8 2GY",Сіндан Фарма С.Р.Л.,Румунія,"бул. Іона Михалаче, 11, сектор 1, 011171, Бухарест, Румунiя",UA/15258/01/01,3,рік,"етанол 96%, карбомер, трометамол, метилпарабен (Е 218), олія м’яти перцевої, вода очищена",Гепарин натрію,https://compendium.com.ua/dec/341547/
ГЕЛЬМІНТОКС,Coagulation factor IX,1 флакон містить 1000 МО нонакогу альфа (фактор коагуляції крові людини IX рекомбінантний ),P02C C01,Пфайзер Ейч.Сі.Пі. Корпорейшн,США,"235 Іст 42-га Стріт, Нью Йорк, НЙ 10017 - 5755, США","Ваєт Фарма С.А. (виробництво ліофілізату за повним циклом; контроль якості розчинника (крім тесту ""Сила тертя поршня""); пакування розчинника у набір; контроль якості, зберігання, пакування та випуск набору; відповідальний за випуск серії)",Іспанія,"Аутовіа дель Норте А1, Км 23, десвіо Алгете, Км. 1, Сан Себастіан де лос Реєс, 28700 Мадрид, Іспанія",UA/16134/01/03," для розчинника – 4 роки",2,"крохмаль кукурудзяний, натрію крохмалгліколят, магнію стеарат, гідроксипропілметилцелюлоза, макроголу 400 моностеарат, пропіленгліколь, титану діоксид (е171), барвник оранжево-жовтий s (e 110).,  крохмаль кукурудзяний, натрію крохмалгліколят, магнію стеарат, гідроксипропілметилцелюлоза, макроголу 400 моностеарат, пропіленгліколь, титану діоксид (е171), барвник оранжево-жовтий s (e 110).,  розчин сорбіту 70%, гліцерин, полісорбат 80, соєвий лецитин, полівідон, кислота лимонна безводна, натрію бензоат, силіконова емульсія, ароматизатор карамель/чорна смородина, вода очищена, алюмінію-магнію силікат",Пірантел,https://compendium.com.ua/dec/261187/
ГЕМАКС,Coagulation factor IX,1 флакон містить 2000 МО нонакогу альфа (фактор коагуляції крові людини IX рекомбінантний ),B03X A01,Пфайзер Ейч.Сі.Пі. Корпорейшн,США,"235 Іст 42-га Стріт, Нью Йорк, НЙ 10017 - 5755, США","Ваєт Фарма С.А. (виробництво ліофілізату за повним циклом; контроль якості розчинника (крім тесту ""Сила тертя поршня""); пакування розчинника у набір; контроль якості, зберігання, пакування та випуск набору; відповідальний за випуск серії)",Іспанія,"Аутовіа дель Норте А1, Км 23, десвіо Алгете, Км. 1, Сан Себастіан де лос Реєс, 28700 Мадрид, Іспанія",UA/16134/01/04," для розчинника – 4 роки",2,"маніт (Е 421), натрію хлорид, натрію дигідрофосфат дигідрат, натрію гідрофосфат додекагідрат, альбумін людини",Епоетин альфа,https://compendium.com.ua/dec/263986/
ГЕМАКСАМ,Coagulation factor IX,1 флакон містить 250 МО нонакогу альфа (фактор коагуляції крові людини IX рекомбінантний ),B02A A02,Пфайзер Ейч.Сі.Пі. Корпорейшн,США,"235 Іст 42-га Стріт, Нью Йорк, НЙ 10017 - 5755, США","Ваєт Фарма С.А. (виробництво ліофілізату за повним циклом; контроль якості розчинника (крім тесту ""Сила тертя поршня""); пакування розчинника у набір; контроль якості, зберігання, пакування та випуск набору; відповідальний за випуск серії)",Іспанія,"Аутовіа дель Норте А1, Км 23, десвіо Алгете, Км. 1, Сан Себастіан де лос Реєс, 28700 Мадрид, Іспанія",UA/16134/01/01," для розчинника – 4 роки",2,,Транексамова кислота,https://compendium.com.ua/dec/264346/
ГЕМАТІКС,Coagulation factor IX,1 флакон містить 3000 МО нонакогу альфа (фактор коагуляції крові людини IX рекомбінантний),L01B C05,Пфайзер Ейч.Сі.Пі. Корпорейшн,США,"235 Іст 42-га Стріт, Нью Йорк, НЙ 10017 - 5755, США","Ваєт Фарма С.А. (виробництво ліофілізату за повним циклом; контроль якості розчинника (крім тесту ""Сила тертя поршня""); пакування розчинника у набір; контроль якості, зберігання, пакування та випуск набору; відповідальний за випуск серії)",Іспанія,"Аутовіа дель Норте А1, Км 23, десвіо Алгете, Км. 1, Сан Себастіан де лос Реєс, 28700 Мадрид, Іспанія",UA/16134/01/05," для розчинника – 4 роки",2,"маніт (Е 421), натрію ацетат, натрію гідроксид, кислота хлористоводнева",Гемцитабін,https://compendium.com.ua/dec/262635/
ГЕМАТОГЕН,Coagulation factor IX,1 флакон містить 500 МО нонакогу альфа (фактор коагуляції крові людини IX рекомбінантний ),A16A X19**,Пфайзер Ейч.Сі.Пі. Корпорейшн,США,"235 Іст 42-га Стріт, Нью Йорк, НЙ 10017 - 5755, США","Ваєт Фарма С.А. (виробництво ліофілізату за повним циклом; контроль якості розчинника (крім тесту ""Сила тертя поршня""); пакування розчинника у набір; контроль якості, зберігання, пакування та випуск набору; відповідальний за випуск серії)",Іспанія,"Аутовіа дель Норте А1, Км 23, десвіо Алгете, Км. 1, Сан Себастіан де лос Реєс, 28700 Мадрид, Іспанія",UA/16134/01/02," для розчинника – 4 роки",2,"молоко цільне згущене з цукром, патока крохмальна, цукор-пісок, ванілін",Альбумін харчовий,https://compendium.com.ua/dec/268404/
ГЕМЛІБРА®,Benzalkonium,"алкилбензилдиметиламмонію хлоридів від 95,0 % до 104,0 % у перерахунку на суху речовину",B02B X06,"ТОВ ""ФАРМЕКС ГРУП""",Україна,"Україна, 08300, Київська обл., м. Бориспіль, вул. Шевченка, 100",Ново Нордіск Фарматек Е/С,Данія,"Кьобенхавнсвеж 216, Кьоге, 4600, Данiя",UA/15866/01/01,5,рік,"L-гістидин, L-кислота аспарагінова, L-аргінін, полоксамер 188, вода для ін’єкцій",Еміцизумаб,https://compendium.com.ua/dec/337233/
ГЕМОАКТИВ,Benzalkonium,"алкілбензилдиметиламмонію хлоридів не менше 95,0% і не більше 104,0%, в перерахунку на безводну речовину",B02A A02,Ново Нордіск Фарматек Е/С,Данія,"Кобенхавнсвей 216, 4600 Коге, Данія",Ново Нордіск Фарматек Е/С,Данія,"Кобенхавнсвей 216, 4600 Коге, Данія",UA/12141/01/01,5,рік,,транексамова кислота,https://compendium.com.ua/dec/342772/
ГЕМОАКТИВ-МБ,Benzydamine,"бензидаміну гідрохлориду від 99,0 % до 101,0 % в перерахунку на суху речовину",B02A A02,"ПАТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Фрунзе, 63","Укуіфа Мексіко, С.А.Де С.В.",Мексика,"Калле Істе № 126, СІВАК, С.П. 62578, Ютепек, Морелос, Мексика",UA/16102/01/01,5,рік,,транексамова кислота,https://compendium.com.ua/dec/342772/
ГЕМОПРОКТ,Benzydamine,"містить від 99,0% до 101,0% бензидаміну гідрохлориду в перерахунку на суху речовину",C05A D03,"Спільне українсько-іспанське підприємство ""Сперко Україна""",Україна,"21027, Україна, м. Вінниця, вул. 600-річчя, 25",КЕДАР ДЖАНАНІ ХЕМПЛАСТ ПВТ.ЛТД. (виробництво напівпродукту),Індія,"Т-42/43/44, M.I,Д.К., Бойсар, Район Палгар - 401 506, Махараштра, Індія",UA/16527/01/01,5,рік,"поліетиленоксид 1500, поліетиленоксид 400","Бензокаїн, Вісмуту субгалат, Цинку оксид, Ментол",https://compendium.com.ua/dec/263586/
ГЕМОРОЛЬ,Benzydamine,"не менше 99,0 % і не більше 101,0 % бензидаміну гідрохлориду, в перерахунку на суху речовину",C05A X03,"Товариство з обмеженою відповідальністю ""Фармацевтична фірма ""Вертекс""",Україна,"Україна, 61001, Харківська обл., місто Харків, вулиця Смольна, будинок 30",Бал Фарма Лімітед,Індія,"61-Б, Боммасандра промисловий район, Бангалор - 560 099, Індія",UA/16248/01/01,5,рік,"гліцерол, наповнювач","Бензокаїн, Екстракт суцвіття ромашки лікарської густий, Екстракт жарнівця (саротамнуса) густий, Екстракт гіркокаштану густий, Екстракт кореневищ перстачу прямостоячого густий, Екстракт трави деревію звичайного густий, Екстракт коренів беладонни ликарської густий",https://compendium.com.ua/dec/272784/
ГЕМОТРАН®,Benzyl benzoate,1 г крему містить бензилбензоату медичного – 250 мг,B02A A02,"ПАТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Фрунзе, 63","ПАТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Фрунзе, 74",UA/7134/01/01,3,рік,,Транексамова кислота,https://compendium.com.ua/dec/266313/
ГЕМТЕРО,Benzyl benzoate,"не менше 99,0 % і не більше 100,5 % бензилбензоату",L01B C05,"Товариство з обмеженою відповідальністю ""Фармацевтична компанія ""Здоров'я""",Україна,"Україна, 61013, Харківська обл., місто Харків, вулиця Шевченка, будинок 22",НАВЬЮГ ФАРМАКЕМ (П) ЛТД.,Індія,"ДІЛЯНКА №260/2, НАВАГАМ-КАРДЕДЖ, ОКРУГ-БХАВНАГАР-364 060, Індія",UA/16139/01/01,5,рік,маніт (Е 421),Гемцитабін,https://compendium.com.ua/dec/265506/
ГЕМЦИБІН,Benzyl benzoate,1 г мазі містить: бензилбензоату медичного 250 мг,L01B C05,"ПрАТ ""Фармацевтична фірма ""Дарниця""",Україна,"Україна, 02093, м. Київ, вул. Бориспільська, 13","ПрАТ ""Фармацевтична фірма ""Дарниця""",Україна,"Україна, 02093, м. Київ, вул. Бориспільська, 13",UA/4488/01/01,2,рік,"маніт (Е 421), натрію ацетат тригідрат, натрію гідроксид",Гемцитабін,https://compendium.com.ua/dec/273170/
ГЕМЦИТАБІН,Myramistin*,"бензилдиметил[3-(мірістоіламіно)пропіл] амонію хлорид моногідрату не менше 99,0% і не більше 101,0% у перерахунку на безводну речовину",L01B C05,"Товариство з обмеженою відповідальністю ""ФАРМХІМ""",Україна,"Україна, 41100, Сумська обл., м. Шостка, вул. Індустріальна, буд. 1","Товариство з обмеженою відповідальністю ""ФАРМХІМ""",Україна,"Україна, 41100, Сумська обл., м. Шостка, вул. Індустріальна, буд. 1",UA/17990/01/01,5,рік,"манітол (E 421), натрію ацетат тригідрат, кислота хлористоводнева, натрію гідроксид",Гемцитабін,https://compendium.com.ua/dec/262636/
ГЕМЦИТАБІН-ВІСТА,Myramistin*,"мірамістину не менше 99,0 % та не більше 101,0 %",L01B C05,"КНВМП ""ІСНА""",Україна,"Україна, 04114, м Київ, вул. Дубровицька, 8, офіс 160","ТОВ ""Виробниче об'єднання ""Тетерів""",Україна,"Україна, 07200, Київська обл., Іванківський район, селище міського типу Іванків, вул. Фрунзе, будинок 49",UA/13296/01/01,5,рік,маніт (Е 421),Гемцитабін,https://compendium.com.ua/dec/265037/
"ГЕМЦИТАБІН ""ЕБЕВЕ""",Benzylpenicillin," по 1 контурній чарунковій упаковці в пачці",L01B C05,,,"ПАТ ""Київмедпрепарат""","Україна, 01032, м. Київ, вул. Саксаганського, 139",1,"ПАТ ""Київмедпрепарат""",,http://www.drlz.com.ua/ibp/lz_www.nsf/id/70E0CD258A3317FFC225851A004ABD90/$file/UA37910101_6521.mht,4 роки,"кислота хлористоводнева розведена, вода для ін?єкцій",Гемцитабін,https://compendium.com.ua/dec/261535/
ГЕМЦИТАБІН АМАКСА,Benzylpenicillin,"бензилпеніциліну натрієвої солі не менше 96,0 % і не більше 102,0 %, у перерахуванні на суху речовину",L01B C05,"ПАТ ""Київмедпрепарат""",Україна,"Україна, 01032, м. Київ, вул. Саксаганського, 139","Сі.Ес.Пі.Сі. Чжуннуо Фармасьютікал (Шицзячжуан) Ко., Лтд.",Китай,"№ 47, Феншоу Роуд, м. Шицзячжуан, провінція Хебей, 050041, Китай",UA/13829/01/01,4,рік,маніт (E 421),Гемцитабін,https://compendium.com.ua/dec/265939/
ГЕМЦИТАБІН МЕДАК,Benzylpenicillin,"бензилпеніциліну натрієвої солі не менше 96 % та не більше 102,0 % у перерахуванні на суху речовину",L01B C05,"ПАТ ""Київмедпрепарат""",Україна,"Україна, 01032, м. Київ, вул. Саксаганського, 139","Харбін Фармасьютикал Груп Ко., Лтд. Дженерал Фарм Фекторі",Китай,"№ 109 Ксуефу Роуд Нанганг Дістрікт, Харбін, Китай",UA/3594/01/01,4,рік,"манітол (E 421), натрію ацетат тригідрат, кислота хлористоводнева, натрію гідроксид",Гемцитабін,https://compendium.com.ua/dec/262636/
ГЕНЕРОЛОН,Hexamethonium bromide*,"бензогексонію від 99,0 % до 100,5 % у перерахунку на суху речовину",D11A X01,"Товариство з обмеженою відповідальністю ""Фармацевтична компанія ""Здоров'я""",Україна,"Україна, 61013, Харківська обл., місто Харків, вулиця Шевченка, будинок 22","Товариство з обмеженою відповідальністю ""Фармацевтична компанія ""Здоров'я""",Україна,"Україна, 61013, Харківська обл., місто Харків, вулиця Шевченка, будинок 22",UA/4489/01/01,5,рік,"етанол 96%, пропіленгліколь, вода очищена",міноксидил,https://compendium.com.ua/dec/356100/
ГЕНОТРОПІН®,Hexamethonium bromide*,1 мл розчину містить бензогексонію 25 мг,H01A C01,"Товариство з обмеженою відповідальністю ""Фармацевтична компанія ""Здоров'я""",Україна,"Україна, 61013, Харківська обл., місто Харків, вулиця Шевченка, будинок 22","Товариство з обмеженою відповідальністю ""Фармацевтична компанія ""Здоров'я""",Україна,"Україна, 61013, Харківська обл., місто Харків, вулиця Шевченка, будинок 22",UA/5136/01/01,4 роки,4,"гліцин, маніт (E 421), натрію дигідрофосфат безводний, натрію гідрофосфат (додекагідрат)",Соматропін,https://compendium.com.ua/dec/338408/
ГЕНСУЛІН М30,Hexamethonium bromide*,1 мл розчину містить бензогексонію 25 мг,A10A D01,"Товариство з обмеженою відповідальністю ""Фармацевтична компанія ""Здоров'я""",Україна,"Україна, 61013, Харківська обл., місто Харків, вулиця Шевченка, будинок 22","Товариство з обмеженою відповідальністю ""Фармацевтична компанія ""Здоров'я""",Україна,"Україна, 61013, Харківська обл., місто Харків, вулиця Шевченка, будинок 22",UA/5136/01/01,4 роки.,4,м-крезол,Інсулін людини рекомбінантний,https://compendium.com.ua/dec/266818/
ГЕНСУЛІН Н,Benzocaine,"бензокаїну не менше 99,0 % та не більше 101,0 % у перерахуванні на суху речовину",A10A C01,"Приватне акціонерне товариство ""Лекхім - Харків""",Україна,"Україна, 61115, Харківська обл., місто Харків, вулиця Северина Потоцького, будинок 36","Чанджоу Санлайт Фармасьютікал Ко., Лтд.",Китай,"No. 216 Юннан Вест Роуд, Бенью Таун, Ксінбеі Дістрікт, Чанджоу Сіті, 213134 Джиангсу Провінс, Китай",UA/12132/01/01,3,рік,м-крезол,Рекомбінантний ізофан-інсулін людини,https://compendium.com.ua/dec/261216/
ГЕНСУЛІН Р,Benzobarbital*,за рецептом,A10A B01,,"Товариство з додатковою відповідальністю ""ІНТЕРХІМ""",Україна,1,"Товариство з додатковою відповідальністю ""ІНТЕРХІМ""",Україна,,http://www.drlz.com.ua/ibp/lz_www.nsf/id/8B05228295D3A4C4C22585E5004943C0/$file/UA97930101_96DF.mht,4 роки,"м-крезол, гліцерин, кислота хлористоводнева (розведена), натрію гідроксид, вода для ін’єкцій",Інсулін людини рекомбінантний,https://compendium.com.ua/dec/266559/
ГЕНТАКСАН,Benzobarbital*,за рецептом,D06C,,"Товариство з додатковою відповідальністю ""ІНТЕРХІМ""",Україна,1,"Товариство з додатковою відповідальністю ""ІНТЕРХІМ""",Україна,,http://www.drlz.com.ua/ibp/lz_www.nsf/id/5573C44721C278ADC22585E5004943B2/$file/UA97930102_4B8C.mht,4 роки,,"Гентаміцин, L-триптофан, Цинку сульфат гептагідрат",https://compendium.com.ua/dec/281520/
ГЕНТАКСАН®,Budesonide,"1 мл суспензії для розпилення містить 0,25 мг будесоніду",D06C,"Фармацевтичний завод ""ПОЛЬФАРМА"" С.А.",Польща,"вул. Пельплиньска 19, 83-200, Старогард Гданьски, Польща","Фармацевтичний завод ""ПОЛЬФАРМА"" С.А. (виробництво, пакування, контроль серії та випуск серії)",Польща,"вул. Пельплиньска 19, 83-200, Старогард Гданьски, Польща",UA/17682/01/01,3,рік,,"Гентаміцин, L-триптофан, Цинку сульфат гептагідрат",https://compendium.com.ua/dec/281520/
ГЕНТАМІЦИН-ЗДОРОВ'Я,Budesonide,"1 мл суспензії для розпилення містить 0,5 мг будесоніду",J01G B03,"Фармацевтичний завод ""ПОЛЬФАРМА"" С.А.",Польща,"вул. Пельплиньска 19, 83-200, Старогард Гданьски, Польща","Фармацевтичний завод ""ПОЛЬФАРМА"" С.А. (виробництво, пакування, контроль серії та випуск серії)",Польща,"вул. Пельплиньска 19, 83-200, Старогард Гданьски, Польща",UA/17682/01/02,3,рік,"натрію метабісульфіт (Е 223), динатрію едетат, вода для ін’єкцій",Гентаміцину сульфат,https://compendium.com.ua/dec/272375/
ГЕНТАМІЦИНУ СУЛЬФАТ,Oxybuprocaine,1 мл розчину містить оксибупрокаїну гідрохлориду 4 мг,J01G B03,"ТОВ ""УНІМЕД ФАРМА""",Словацька Республіка,"вул. Орієшкова, 11, 821 05, Братислава, Словацька Республіка","ТОВ ""УНІМЕД ФАРМА""",Словацька Республіка,"вул. Орієшкова, 11, 821 05, Братислава, Словацька Республіка",UA/12824/01/01,2,рік,,Гентаміцину сульфат,https://compendium.com.ua/dec/272295/
ГЕНТАМІЦИНУ СУЛЬФАТ-ДАРНИЦЯ,Bendamustine,за рецептом,J01G B03,,Гетеро Лабз Лімітед,Індія,1,Гетеро Лабз Лімітед,Індія,,3 роки,3,"натрію метабісульфіт (Е 223), динатрію едетат, вода для ін’єкцій",Гентаміцину сульфат,https://compendium.com.ua/dec/271247/
ГЕНТАСЕПТ,Bendamustine,за рецептом,D06C,,Гетеро Лабз Лімітед,Індія,1,Гетеро Лабз Лімітед,Індія,,3 роки,3,метоксан,"Гентаміцин, L-триптофан, Цинку сульфат",https://compendium.com.ua/dec/263721/
ГЕНТОС®,Benfotiamine,1 таблетка містить бенфотіаміну 300 мг,G04B X50**,Вьорваг Фарма ГмбХ і Ко. КГ,Німеччина,"71034, Бьоблінген, Кальверштрасе, 7, Німеччина",Драгенофарм Аптекарь Пюшл ГмбХ,Німеччина,"Гьольштрасе 1, 84529 Тіттмонінг, Німеччина",UA/11334/01/01,3,рік,"лактози моногідрат, крохмаль картопляний, магнію стеарат.,  етанол 43%","Populus D1, Sabal D6, Conium D6, Kalium jodatum D12, Ferrum picrinicum D12",https://compendium.com.ua/dec/261097/
ГЕП-АРТ®,Benfotiamine,"бенфотіаміну від 98,0 % до 102,0 % в перерахуванні на суху речовину",A16A A02,"АТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Кирилівська, 63","Йонезава Гамарі Чемікалз, Лтд",Японія,"4300-18, 2-Чоме, Гачіманпара, Йонезава Сіті, Ямагата, Японія",UA/10784/01/01,3,рік,"1 ампула розчинника містить L-лізин, натрію гідроксид, воду для ін’єкцій",Адеметіонін,https://compendium.com.ua/dec/266376/
ГЕПА-МЕРЦ,Dexpanthenol," по 1 тубі у картонній коробці",A05B A06,,,Байєр Консьюмер Кер АГ,"Петер Меріан-Штрассе 84, 4052 Базель, Швейцарія",1,ГП Грензах Продуктіонс ГмбХ,,http://www.drlz.com.ua/ibp/lz_www.nsf/id/F313E3298511549AC22586A9003498FC/$file/UA41570101_7494.mht,3 роки.,"кислота лимонна безводна, натрію сахарин, натрію цикламат, повідон 25, фруктоза, ароматизатор лимонний, ароматизатор апельсиновий, барвник жовто-оранжевий s(е110).,  вода для ін'єкцій",Орнітину аспартат,https://compendium.com.ua/dec/260413/
ГЕПАБЕНЕ,Dexpanthenol,1 г мазі містить декспантенолу 50 мг,A05A X10**,Байєр Консьюмер Кер АГ,Швейцарія,"Петер Меріан-Штрассе 84, 4052 Базель, Швейцарія",ГП Грензах Продуктіонс ГмбХ,Німеччина,"Еміл-Барелль-Штрассе 7, 79639 Грензах-Вілєн, Німеччина",UA/4157/02/01,3,рік,"целюлоза мікрокристалічна, тальк, макрогол, коповідон, магнію стеарат, кремнію діоксид колоїдний, крохмаль кукурудзяний, желатин, титану діокис, заліза оксид жовтий (е172), заліза оксид червоний (е 172), заліза оксид чорний (е172)","Екстракт сухої трави рутки лікарської, Фумарін, Екстракт розторопши плямистої, Силімарин, Силібінін",https://compendium.com.ua/dec/267109/
ГЕПАВАЛ®,"Chlorhexidine, combinations","1 г крему містить декспантенолу 50 мг, хлоргексидину дигідрохлориду 5 мг",V03A B32,Байєр Консьюмер Кер АГ,Швейцарія,"Петер Меріан-Штрассе 84, 4052 Базель, Швейцарія",ГП Грензах Продуктіонс ГмбХ,Німеччина,"Еміл-Барелль-Штрассе 7, 79639 Грензах-Вілєн, Німеччина",UA/7805/01/01,3,рік,,Глутатіон,https://compendium.com.ua/dec/266424/
ГЕПАДИФ®,"Chlorhexidine, combinations","1 мл розчину містить декспантенолу 50 мг; хлоргексидину біглюконату 5 мг, що відповідає 2,88 мг хлоргексидину",A16A A20**,Байєр Консьюмер Кер АГ,Швейцарія,"Петер Меріан-Штрассе 84, 4052 Базель, Швейцарія",Ліхтенхельдт ГмбХ Фармацойтіше Фабрік,Німеччина,"Ліхтенхельдт ГмбХ - Дільниця І - Індустріештрассе 7-11, 23812 Вальштедт, Німеччина",UA/7805/02/01,3,рік,,"Карнітину оротат, Антитоксична фракція екстракту печінки, Аденіну гідрохлорид, Піридоксину гідрохлорид, Ціанокобаламін, Рибофлавін, Карнітину гідрохлорид, Аденозин",https://compendium.com.ua/dec/270227/
ГЕПАМЕТІОН®,Betula**,"1 пакет містить берези бруньок (Betulae gemmae) – 10 г, 50 г.",A16A A02,"ТОВ ""Тернофарм""",Україна,"Україна, 46010, м. Тернопіль, вул. Фабрична, 4","ТОВ ""Тернофарм""",Україна,"Україна, 46010, м. Тернопіль, вул. Фабрична, 4",UA/8861/01/01,2 роки.,2,,Адеметіонін,https://compendium.com.ua/dec/282238/
ГЕПАР КОМП. ХЕЕЛЬ,Betula**,бруньки берези,A05B A50**,"ПрАТ Фармацевтична фабрика ""Віола""",Україна,"Україна, 69063, м. Запоріжжя, вул. Академіка Амосова, 75","ПрАТ Фармацевтична фабрика ""Віола""",Україна,"Україна, 69050, м. Запоріжжя, вул. Складська, 4.",UA/2154/01/01,2 роки,2,"натрію хлорид, вода для ін'єкцій","Cyanocobalaminum D4, Duodenum suis D10, Thymus suis D10, Colon suis D10, Vesica fellea suis D10, Pankreas suis D10, Cinchona pubescens D4, Lycopodium сlavatum D4, Chelidonium majus D5, Silybum marianum D3, Histaminum D10, Sulfur D13, Avena sativa D6, Natrium diethyloxalaceticum D10, Acidum alpha-ketoglutaricum D10, Acidum DL-malicum D10, Acidum fumaricum D10, Calcium carbonicum Hahnemanni D28, Taraxacum officinale D4, Cynara scolymus D6, Veratrum album D4, Acidum alpha-liponicum D8, Acidum oroticum D6",https://compendium.com.ua/dec/271576/
ГЕПАРИЗИН®,Betula**,1 пачка містить берези бруньки (gemmae betulae) 50 г,A05B A50**,"АТ ""Лубнифарм""",Україна,"Україна, 37500, Полтавська обл., м. Лубни, вул. Барвінкова, 16","АТ ""Лубнифарм""",Україна,"Україна, 37500, Полтавська обл., м. Лубни, вул. Барвінкова, 16",UA/8273/01/01,2 роки,2,,"Гліциризин, Гліцин, L-цистеїну гідрохлорид",https://compendium.com.ua/dec/266426/
ГЕПАРИН-БІОЛІК,Betula**,березові бруньки (Betulae gemmae),B01A B01,"ПрАТ ""Ліктрави""",Україна,"Україна, 10001, Житомирська обл., м. Житомир, шосе Київське, будинок 21","ПрАТ ""Ліктрави""",Україна,"Україна, 10001, Житомирська обл., м. Житомир, шосе Київське, будинок 21",UA/13401/01/01,2,рік,"спирт бензиловий, натрію хлорид, вода для ін’єкцій",Гепарин,https://compendium.com.ua/dec/260963/
